category,age_range,name,url,address1,address2,address3,address4,head,telephone,email
Primary;Secondary;Independent,5-17,The School of the Islamic Republic of Iran,,100 Carlton Vale,London,NW6 5HE,,Mr Farzad Farzan,020 7372 8051,
Secondary;Foundation schools;Academy,11-19,The Crest Boys' Academy,http://www.thecrestboysacademy.org.uk/,Crest Road,London,NW2 7SN,,Mr Billy O'Keefe,020 8452 8700,staff@thecrestboysacademy.org.uk
Community schools;Primary,3-11,The Stonebridge Primary School,Not currently available,Shakespeare Avenue,Stonebridge,London,NW10 8NG,Ms Sophie Allen,020 8965 6965,admin@stonebridge.brent.sch.uk
Junior,7-11,The Kilburn Park School Foundation,http://www.kilburnpark.brent.sch.uk,Malvern Road,Kilburn,London,NW6 5RG,Mr Laurence Keel,020 7624 7603,admin@kilburnpark.brent.sch.uk
Primary;Voluntary Aided,3-11,St Robert Southwell Catholic Primary School,http://www.robsouth.brent.sch.uk,Slough Lane,Kingsbury,London,NW9 8YD,Miss Honor Beck,020 8204 6148,admin@robsouth.brent.sch.uk
Independent,3-11,St Nicholas' School,http://www.happychild.co.uk/schools/st-nicholas.html,22 Salmon Street,Kingsbury,NW9 8PN,,Alexis Brierley,020 8205 7153,stnich.head@happychild.co.uk
Primary;Foundation schools,3-11,Sudbury Primary School,http://www.sudbury.brent.sch.uk/,Watford Road,Wembley,Middx,HA0 3EY,Ms Uma Pandya,020 8385 4444,admin@sudbury.brent.sch.uk
Primary;Voluntary Aided,3-11,St Mary's Catholic Primary School,http://www.marycps.brent.sch.uk/,Canterbury Road,Kilburn,London,NW6 5ST,Mr Alphonsus Reilly,020 7624 1830,admin@marycps.brent.sch.uk
Primary;Voluntary Aided,3-11,St Mary's C of E Primary School,http://webfronter.com/brent/stmaryscofe/index.shtml,Garnet Road,Willesden,London,NW10 9JA,Ms Susan Lawrence,020 8451 0363,admin@stmarysce.brent.sch.uk
Infant;Voluntary Aided,3-7,St Joseph's Catholic Infant School,,Waverley Avenue,Wembley,Middx,HA9 6TA,Mrs Pam Gibney,020 8903 6032,admin@sjinf.brent.sch.uk
Junior;Voluntary Aided,7-11,St Mary Magdalen's Catholic Junior School,http://www.marymag.brent.sch.uk,Linacre Road,Willesden,London,NW2 5BB,Maria Nowicka,020 8459 3159,admin@marymag.brent.sch.uk
Secondary;Voluntary Aided,11-19,St Gregory's Science College,http://www.stgregorys.harrow.sch.uk/sgsmain/,Donnington Road,Kenton,Middx,HA3 0NB,Mr. Andrew Prindiville,020 8907 8828,cryan@stgregorys.harrow.sch.uk
Primary;Voluntary Aided,3-11,St Margaret Clitherow Catholic Primary School,Not currently available,Quainton Street,Neasden,London,NW10 0BG,Mrs Ewa McSperrin,020 8450 3631,admin@clitherow.brent.sch.uk
Primary;Voluntary Aided,3-11,St Joseph's Catholic Primary School,http://www.stjosephsrc.co.uk,Goodson Road,Harlesden,London,NW10 9LS,Mrs Dawn Titus,020 8965 5651,admin@stjo.brent.sch.uk
Primary;Voluntary Aided,3-11,St Andrew and St Francis C of E Primary School,http://www.standrewandstfrancis.net/,Belton Road,Willesden,London,NW2 5PE,Mrs Barbara Graham,020 8459 1636,admin@sasf.brent.sch.uk
Junior;Voluntary Aided,7-11,St Joseph's Catholic Junior School,,Chatsworth Avenue,Wembley,Middx,HA9 6BE,Mrs Pam Gibney,020 8902 3438,admin@sjjnr.brent.sch.uk
Independent,4-11,St Christopher's School,http://www.happychild.co.uk/schools/st-christophers.html,71 Wembley Park Drive,Wembley Park,HA9 8HE,,Alison McNeill,020 8902 5069,stchrisp.admin@happychild.co.uk
Community schools;Junior,7-11,Roe Green Junior School,http://www.rgjs.brent.sch.uk/,Princes Avenue,Kingsbury,London,NW9 9JL,Ms Melissa Loosemore,020 8204 5221,melissa@rgjs.brent.sch.uk
Community schools;Primary,3-11,Salusbury Primary School,http://www.salusbury.brent.sch.uk,Salusbury Road,Kilburn,London,NW6 6RG,Ms Linda Kiernan,020 7624 0311,admin@salusbury.brent.sch.uk
Primary;Voluntary Aided,3-11,Princess Frederica C of E Primary School,http://www.princessfrederica.com/,College Road,Kensal Rise,London,NW10 5TP,Ms Sabina Nettey,020 8969 7756,admin@princessfrederica.brent.sch.uk
Secondary;Foundation schools,11-19,Queens Park Community School,http://www.qpcs.brent.sch.uk,Aylestone Avenue,London,NW6 7BQ,,Mr Mike Hulme,020 8438 1700,info@qpcs.brent.sch.uk
Special Needs,5 - 11,Phoenix Arch School,Not currently available,Drury Way,Neasden,London,NW10 0NQ,Ms Jude Towell,020 8451 6961,admin@vernonhouse.brent.sch.uk
Community schools;Infant,3-7,Roe Green Infant School,http://www.rgreeninf.brent.sch.uk/,Princes Avenue,Kingsbury,London,NW9 9JL,Mrs Nicole Lobo,020 8204 3531,admin@rgreeninf.brent.sch.uk
Community schools;Primary,3-11,Preston Park Primary School,http://www.prestonparkschool.co.uk,College Road,Wembley,Middx,HA9 8RJ,Mr John Redpath,020 8904 3602,admin@prestpk.brent.sch.uk
Primary;Secondary;Foundation schools,5-19,Preston Manor School,http://www.pmanor.brent.sch.uk/,Carlton Avenue East,Wembley,Middx,HA9 8NA,Mr Matthew Lantos,020 8385 4040,info@pmanor.brent.sch.uk
Junior;Voluntary Aided,7-11,Our Lady of Grace RC Juniors School,http://www.ourladyofgracejuniors.co.uk,Dollis Hill Lane,London,NW2 6HS,,Mr Stephen McGrath,020 8450 6002,admin@ologjuniors.brent.sch.uk
Primary;Voluntary Aided,3-11,Our Lady of Lourdes Catholic Primary School,www.lourdes.brent.sch.uk,Wesley Road,Stonebridge,London,NW10 8PP,Ms Mary Bickerstaff,020 8961 5037,admin@lourdes.brent.sch.uk
Infant;Primary;Voluntary Aided,3-7,Our Lady of Grace Catholic Infants School,http://www.ologinfants.brent.sch.uk/,Dollis Hill Avenue,London,NW2 6EU,,Miss Maria Shea,020 8450 6757,admin@ologinfants.brent.sch.uk
Community schools;Primary,4-11,Park Lane Primary School,Not currently available,Park Lane,Wembley,Middx,HA9 7RY,Mrs Jean Reynolds,020 8902 5006,admin@parklane.brent.sch.uk
Secondary;Foundation schools,11-19,Kingsbury High School,http://www.kingsburyhigh.org.uk/,Princes Avenue,Kingsbury,London,NW9 9JR,Mr Jeremy Waxman,020 8204 9814,school@kingsbury.brent.sch.uk
Community schools;Primary,3-11,Kingsbury Green Primary School,http://www.lgfl.net/lgfl/leas/brent/schools/kingsbury-green/,Old Kenton Lane,Kingsbury,London,NW9 9ND,Ms Laura Wynne,020 8204 6423,office1@kgreen.brent.sch.uk
Referral Unit,Yrs 10 - 11 (Age 14-16),Key Stage 4 Pupil Referral Unit (Poplar Grove),www.pru.brent.sch.uk,Poplar Grove,Wembley,Middlesex,HA9 9DB,Ms Janis Mahony,020 8937 3773 or 020 8937 3774,office@pru.brent.sch.uk
Community schools;Infant,3-7,Malorees Infant School,http://maloreesinfants.com,Christchurch Avenue,London,NW6 7PB,,Ms Sian Davies,020 8459 3038,admin@malorees-inf.brent.sch.uk
Community schools;Junior,7-11,Lyon Park Junior School,http://www.lpjun.brent.sch.uk/,Vincent Road,Wembley,Middx,HA0 4HH,Ms Nicky Yudin,020 8902 1479,admin@lpjun.brent.sch.uk
Community schools;Infant,3-7,Lyon Park Infant School,,Vincent Road,Wembley,Middx,HA0 4HH,Ms Nicky Yudin,020 8902 5454,admin@lpis.brent.sch.uk
Referral Unit,Yrs 7 - 11 (Age 11-16),Key Stage 3 and 4 Pupil Referral Unit (Church Lane),,Church Lane,Kingsbury,London,NW9 8BD,Patrick Eames,020 8205 1137,admin@clp.brent.sch.uk
Community schools;Primary,3-11,Leopold Primary School,http://www.leopold.brent.sch.uk/index.html,Hawkeshead Road,Harlesden,London,NW10 9UR,Ms Audrey Kendall,020 8459 5654,admin@leopold.brent.sch.uk
Primary;Voluntary Aided,3-11,John Keble C of E Primary School,http://www.lgfl.net/lgfl/leas/brent/schools/john-keble/,Crownhill Road,Harlesden,London,NW10 4DR,Ms Alison Loffler,020 8965 5072,admin@jkeble.brent.sch.uk
Secondary;Voluntary Aided,11-18,JFS,http://www.jfs.brent.sch.uk,The Mall,Kenton,HA3 9TE,,Mr Jonathan Miller,020 8206 3100,admin@jfs.brent.sch.uk
Referral Unit,Years 7-9 (Age 11-14),Key Stage 3 Pupil Referral Unit (Stag Lane),www.staglanepru.brent.sch.uk,364a Stag Lane,Kingsbury,London,NW9 9AG,Askale Daley,020 8937 3196,admin@staglanepru.brent.sch.uk
Community schools;Primary,3-11,Kensal Rise Primary School,Not currently available,Harvist Road,Kilburn,London,NW6 6HJ,Mrs Joyce Page,020 8969 3846,admin@krise.brent.sch.uk
,11-16,Islamia Girls' Secondary School,http://www.islamiaschools.com/,129 Salusbury Road,Queen's Park,NW6 6PE,,Mrs Fawzia Islam,020 7372 3472,secretary@islamiaschools.com
Community schools;Primary,3-11,Harlesden Primary School,http://www.harlesdenschool.com,Acton Lane,Harlesden,London,NW10 8UT,Ms Linda Perrier,020 8965 7445,admin@harlesden.brent.sch.uk
Primary;Voluntary Aided,3-11,Islamia Primary School,http://www.islamia.brent.sch.uk/,Salusbury Road,Kilburn,London,NW6 6PE,Mrs Zahida Shameem,020 7372 2532,admin@islamia.brent.sch.uk
Childrens Centre;Community schools;Nursery,3-4,Granville Plus Nursery School,,Granville Road,Kilburn,London,NW6 5RA,Ms Lesley Benson,0208 937 6580/1,admin@granvillepluscc.brent.sch.uk
Community schools;Primary,3-11,Gladstone Park Primary School,http://www.gladpark.brent.sch.uk,Sherrick Green Road,Willesden,London,NW10 1LB,Mr Steven Bruce,020 8452 1350,admin@gladpark.brent.sch.uk
Independent,2 and a half -11,Gower House School,http://www.gowerhouseschool.co.uk/,Blackbird Hill,Kingsbury,NW9 8RR,,Martyn Keane,020 8205 2509,admin@gowerhouseschool.co.uk
Community schools;Primary,3-11,Furness Primary School,www.furness.brent.sch.uk,Furness Road,Harlesden,London,NW10 5YT,Ms Sylvie Libson (Acting),020 8965 5977,admin@furness.brent.sch.uk
Childrens Centre;Community schools;Nursery,2-4,Fawood Children's Centre,http://www.fawoodcc.brent.lgfl.net,35 Fawood Avenue,Stonebridge,London,NW10 8DX,Mark Cole (Centre manager),020 8965 9334,admin@fawoodcc.brent.sch.uk
Community schools;Primary,3-11,Fryent Primary School,http://www.fryent.brent.sch.uk,Church Lane,Kingsbury,London,NW9 8JD,Ms Jean Thwaites,020 8205 4047,admin@fryent.brent.sch.uk
Community schools;Primary,3-11,Elsley Primary School,http://www.elsley.brent.sch.uk,Tokyngton Avenue,Wembley,Middx,HA9 6HT,Ms Nicola Arundel,020 8902 8003,admin@elsley.brent.sch.uk
Childrens Centre;Community schools,2-4,Curzon Crescent Children's Centre,,Curzon Crescent,Harlesden,London,NW10 9SD,Mark Cole (Centre manager),020 8459 6813,admin@curzon.brent.sch.uk
Community schools;Primary,3-11,Donnington Primary School,http://www.donnington.brent.sch.uk/,Uffington Road,London,NW10 3TL,,Mr Roger Roberts,020 8451 0761,admin@donnington.brent.sch.uk
Secondary;Foundation schools,11-18,Copland Community School,http://www.copland.brent.sch.uk,Cecil Avenue,Wembley,Middx,HA9 7DU,Mr Graeme Plunkett,020 8902 6362,admin@copland.brent.sch.uk
Secondary;Voluntary Aided,11-19,Convent of Jesus and Mary Language College,http://www.cjmlc.co.uk/en/index.php,Crownhill Road Willesden,London,NW10 4EP,,Mrs Geraldine Freear,020 8965 2986,office@cjmlc.co.uk
Community schools;Nursery,1-5,College Green Nursery School,http://www.cgnss.brent.sch.uk,161 College Road,London,NW10 3PH,,Mrs Wendy Yianni,020 8969 2179,admin@cgnss.brent.sch.uk
Infant;Voluntary Aided,3-7,Convent of Jesus and Mary Catholic Infants School,http://www.conventinf.brent.sch.uk/,21 Park Avenue,Willesden,London,NW2 5AN,Mrs Teresa O'Higgins,020 8459 5890,admin@conventinf.brent.sch.uk
Primary;Voluntary Aided,3-11,Christ Church C of E Primary School,http://www.cchurch.brent.sch.uk/,Clarence Road,Kilburn,London,NW6 7TE,Ms Joy Donaldson,020 7624 4967,admin@cchurch.brent.sch.uk
Secondary;Foundation schools,11-19,Claremont High School,http://www.claremont-high.org.uk,Claremont Avenue,Kenton,Middx,HA3 0UH,Mr Terry Molloy,0844 850 0093,admin@claremont-high.org.uk
Secondary;Independent,11-16,Brondesbury College London,http://www.bcbcollege.com/,8 Brondesbury Park,London,NW6 7BT,,,020 8830 4522,secretary@bcbcollege.com
Community schools;Primary,3-11,Chalkhill Primary School,http://webfronter.com/brent/chalkhill/index.shtml,Barnhill Road,Wembley,Middx,HA9 9YP,Ms Rose Ashton,020 8904 4508,admin@chalkhill.brent.sch.uk
Secondary;Academy,11-19,Capital City Academy,http://www.capitalcityacademy.org/,Doyle Gardens,London,NW10 3ST,,Mr Alex Thomas,020 8838 8700,info@capitalcityacademy.org
Community schools;Primary,4-11,Byron Court Primary School,http://www.byroncourtschool.co.uk/,Spencer Road,Wembley,Middx,HA0 3SF,Mrs Martine Clark,020 8904 2785,admin@byroncrt.brent.sch.uk
Community schools;Infant,3-7,Carlton Vale Infant School,http://www.lgfl.net/lgfl/leas/brent/schools/carlton-vale/,Malvern Road,Kilburn,London,NW6 5PU,Ms Helen Mooney,020 7624 0348,admin@carlton.brent.sch.uk
Independent,4-11,Buxlow Preparatory School,http://www.happychild.co.uk/schools/buxlow-school.html,5-6 Castleton Gardens,East Lane,Wembley,HA9 7QJ,Ann Baines,020 8904 3615,buxlow@happychild.co.uk
Community schools;Primary,3-11,Brentfield Primary School,http://www.brentfieldprimaryschool.org.uk/,41 &amp; 43 Meadow Garth,London,NW10 0SL,,Ms Paola Riddle,020 8965 5326,admin@brentfield.brent.sch.uk
Community schools;Primary,3-11,Braintcroft Primary School,http://webfronter.com/brent/Braintcroft,Warren Road,London,NW2 7LL,,Ms Kim Beat,020 8452 2413,admin@braintcroft.brent.sch.uk
Primary;Independent,3-6,Bnos Beis Yaakov Primary School,,Kingsbury Synagogue,Kingsbury Green,London,NW9 8XR,,,
Community schools;Primary,3-11,Barham Primary School,http://webfronter.com/brent/Barham/,Danethorpe Road,Wembley,Middx,HA0 4RQ,Ms Karen Giles,020 8902 3706,admin@barham.brent.sch.uk
Primary;Secondary;Academy,3 - 17,Ark Academy,http://www.arkacademy.org/,Bridge Road,Wembley,Middlesex,HA9 9JR,Mrs Jacqueline Steele (primary) / Mrs Delia Smith (secondary),Primary - 020 8385 4390 Secondary - 020 8385 4370,info@arkacademy.org
Primary;Voluntary Aided,3-11,Avigdor Hirsch Torah Temimah,Not currently available,Parkside,Dollis Hill,London,NW2 6RJ,Rabbi Yitzchak Freeman,020 8450 4377,admin@torahtemimah.brent.sch.uk
Community schools;Primary,3-11,Anson Primary School,http://www.ansonprimaryschool.com/,Anson Road,Cricklewood,London,NW2 4AB,Mr Jeff Smith,020 8452 8552,admin@anson.brent.sch.uk
Secondary;Foundation schools,11-18,Alperton Community School,http://www.alperton.brent.sch.uk/,Ealing Road,Wembley,Middx,HA0 4PW,Mrs Maggie Rafee,020 8902 2293,office@alperton.brent.sch.uk
